code,rid
N,1554481
N,1554486
<,1554497
<,1554498
<,1554499
<,1554523
<,1554522
<,1554612
<,1554611
>,1554544
<,1554725
<,1554724
<,1554738
<,1554737
<,1554743
<,1554742
>,1554748
N,1554575
<,1554759
<,1554758
N,1554603
N,1554622
N,1554637
N,1554679
N,1554681
N,1554683
N,1554684
<,1554976
<,1554975
N,1554705
N,1554774
N,1554773
N,1554771
N,1554769
>,1555244
<,1555252
<,1555251
>,1555613
N,1554527
N,1554576
N,1554604
<,1555383
<,1554638
<,1555382
N,1554680
N,1554682
<,1555472
<,1555471
N,1554706
N,1554772
N,1555313
N,1554770
<,1555590
<,1555589
<,1555600
N,1555315
N,1555317
N,1555318
<,1555645
N,1555334
N,1555335
<,1555644
<,1555664
N,1555466
<,1555669
<,1555668
>,1555692
N,1555537
N,1555538
<,1555539
<,1555769
N,1555540
N,1555571
N,1555581
<,1555774
<,1555801
<,1555812
<,1555811
<,1555826
<,1555825
N,1555678
<,1555833
<,1555832
N,1555679
N,1555689
N,1555290
N,1555295
<,1555314
<,1555902
N,1555316
N,1555333
N,1555439
>,1555702
>,1555957
>,1555958
<,1555536
<,1556304
N,1555541
N,1555922
N,1555939
N,1555946
N,1555947
<,1555948
N,1555949
N,1555677
N,1555917
<,1555945
N,1555950
<,1555909
<,1556398
<,1556406
<,1556405
N,1556382
N,1556383
>,1556427
>,1556445
N,1556414
N,1556416
N,1556418
N,1556419
<,1556449
>,1556466
>,1556468
N,1556381
N,1556415
N,1556417
N,1556475
N,1554790
N,1556525
>,1556661
<,1556722
<,1556759
N,1556552
>,1556648
<,1556953
<,1556952
N,1556765
N,1556808
N,1556809
<,1556810
N,1556811
N,1556819
<,1557213
N,1556979
N,1556553
<,1557317
<,1557316
<,1557450
<,1557449
>,1557460
<,1557472
<,1557471
<,1557514
<,1557518
<,1557537
<,1557536
>,1557578
<,1557559
>,1557343
<,1557596
N,1557608
N,1557609
N,1557611
<,1557610
N,1557615
<,1557616
N,1557617
<,1557618
N,1557619
N,1557637
>,1557641
N,1557642
N,1557655
N,1557656
N,1557657
N,1557658
N,1557660
N,1557662
N,1557664
N,1557665
N,1557671
N,1557678
N,1557680
N,1557681
N,1557683
<,1557692
N,1557684
<,1557691
<,1557694
<,1557698
<,1557697
<,1557703
>,1557734
<,1557787
<,1557792
<,1557791
>,1557818
>,1557832
<,1557837
<,1557873
<,1557600
<,1557606
N,1557607
<,1557612
N,1557613
N,1557614
N,1557795
<,1557620
N,1557800
N,1557801
N,1557654
N,1557803
N,1557805
<,1557659
N,1557806
<,1557661
